html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
blue\gold-standard-test-battery.html,Gold Standard Test Battery | David Lowe,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\TEST.md,TEST,80:\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\TEST.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\06_NOTES\TEST.md; 80:\\192.168.2.50\z obsidian\C4C-wiki\raw\TEST.md
blue\i-didnt-write-the-math.html,I Didn't Write the Math. I Found It. | David Lowe,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\Math.md
blue\index.html,Where All This Came From | David Lowe · Family Briefing,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Where.md,Where,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Where.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Where.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Where.md
blue\lowe-coherence-lagrangian.html,The Lowe Coherence Lagrangian | David Lowe,18,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Coherence.md,Coherence,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Coherence.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Lagrangian.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Lowe Coherence Lagrangian.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Coherence-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Coherence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Coherence.md
blue\math-is-moral.html,Math Is Moral | David Lowe,11,100,exact-title,\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\Math_Is_Moral.md,Math_Is_Moral,100:\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\Math_Is_Moral.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\06_NOTES\Math_Is_Moral.md; 100:\\192.168.2.50\z obsidian\Production Vault\06_NOTES\Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_KANBAN\PC_Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\00_KANBAN\PC_Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\DT-001_Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\FP-002_MATH_IS_MORAL.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\Math.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\math_is_moral_arguments_COMPREHENSIVE.md; 80:\\192.168.2.50\z obsidian\Production Vault\00_KANBAN\PC_Math_Is_Moral.md
blue\maxwell-truth-isomorphism.html,Maxwell–Truth Field Isomorphism | David Lowe,8,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Isomorphism.md,Isomorphism,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Isomorphism.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Truth.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Truth.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Truth.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Truth.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Isomorphism.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Truth.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Truth.md
blue\six_proofs.html,Six Computational Proofs | David Lowe,0,,,,,
blue\the-same-equation.html,The Same Equation | David Lowe,2,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
components\mtl-reader-bar.html,mtl-reader-bar,0,,,,,
components\tp-pill-player-bar-snippet.html,tp-pill-player-bar-snippet,0,,,,,
components\tp-pill-player-bar.html,tp-pill-player-bar,0,,,,,
components\tp-pill-player.html,TP Pill-Strip Audio Player,0,,,,,
convergence-deep\cdt-01-math-is-moral.html,Math Is Moral | Deep Theory CDT-01 | Theophysics,11,100,exact-title,\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\Math_Is_Moral.md,Math_Is_Moral,100:\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\Math_Is_Moral.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\06_NOTES\Math_Is_Moral.md; 100:\\192.168.2.50\z obsidian\Production Vault\06_NOTES\Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_KANBAN\PC_Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\00_KANBAN\PC_Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\DT-001_Math_Is_Moral.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\FP-002_MATH_IS_MORAL.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\Math.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\math_is_moral_arguments_COMPREHENSIVE.md; 80:\\192.168.2.50\z obsidian\Production Vault\00_KANBAN\PC_Math_Is_Moral.md
convergence-deep\cdt-02-the-maxwell-moment.html,DT002 — The Maxwell Moment | Convergence Deep Theory,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\02.md
convergence-deep\cdt-03-the-energy-that-doesnt-run-out.html,DT003 — The Energy That Doesn't Run Out | Theophysics,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\03.md
convergence-deep\cdt-04-the-map-that-drew-itself.html,DT004 — The Map That Drew Itself | Theophysics Convergence,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\04.md
convergence-deep\cdt-05-the-24-anti-properties.html,The 24 Anti-Properties | Deep Theory · Theophysics,2,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
convergence-deep\cdt-06-it-from-bit-from-logos.html,It from Bit from Logos | Deep Theory CDT-06 | Theophysics,16,100,exact-title,\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\It_from_Bit_from_Logos.md,It_from_Bit_from_Logos,100:\\192.168.2.50\z obsidian\_Theophysics_v3\06_NOTES\It_from_Bit_from_Logos.md; 100:\\192.168.2.50\z obsidian\_Theophysics_v5\06_NOTES\It_from_Bit_from_Logos.md; 100:\\192.168.2.50\z obsidian\Production Vault\06_NOTES\It_from_Bit_from_Logos.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\It from Bit.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Logos.md; 80:\\192.168.2.50\z obsidian\07_PRODUCTION_CANONICAL\log.md; 80:\\192.168.2.50\z obsidian\_ _ Templeton\log.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Logos.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\log.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Logos.md
convergence-deep\index.html,The Convergence: Deep Theory | Theophysics,5,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\theory.md,theory,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\theory.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\theory.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\theory.md
convergence-series\cns-01-the-playing-field.html,01 · The Playing Field — The Convergence Series,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\01.md
convergence-series\cns-02-the-evidence.html,02 · The Evidence — The Convergence Series,6,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\Prompt 1\The evidence.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\Prompt 1\The evidence.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\02.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Evidence.md
convergence-series\cns-03-why-math-works.html,03 · Why Math Works — The Convergence Series,2,80,contains-title,\\192.168.2.50\z obsidian\Opus\New Folder\03.md,03,80:\\192.168.2.50\z obsidian\Opus\New Folder\03.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\Math.md
convergence-series\cns-04-the-paradigm-graveyard.html,04 · The Paradigm Graveyard — The Convergence Series,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\04.md
convergence-series\cns-05-the-judgment-layer.html,05 · The Judgment Layer — The Convergence Series,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\05.md
convergence-series\cns-06-the-priority-of-goodness.html,06 · The Priority of Goodness — The Convergence Series,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\06.md
convergence-series\cns-07-the-verdict.html,07 · The Verdict — The Convergence Series,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\07.md
convergence-series\index.html,The Convergence Series | Theophysics,2,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
equation\index-kimi.html,Master Equation — Theophysics,90,100,exact-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Master Equation.md,Master Equation,100:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Master Equation.md; 100:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Master Equation.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Master Equation_Canonical.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\cannon_math_proof_vectorize_20260518\MASTER_EQUATION_SYMBOL_LOCK.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_AXIOMS\012_E2.1_Master-Equation-First-Form.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_AXIOMS\135_A19.1_Master-Equation-Integration.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_AXIOMS\146_E19.1_Full-Master-Equation.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_Canonical\MASTER_EQUATION_COMPUTATIONAL_VERIFICATION.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\01_Deuterocanonical_Standard\no_drift_master_equation_canonical.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_MATH_APPENDIX\Master Equation Appendix.md
equation\index.html,Master Equation Explorer — Theophysics,2,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Master Equation.md,Master Equation,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Master Equation.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Master Equation.md
equation\Master EQ vs1.html,The Master Equation — Physics and Faith as One Story,14,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Faith.md,Faith,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Faith.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Master Equation.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\Templates\THE MASTER.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\Templates\THE MASTER.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Faith.md
equation\master_story_index_backup.html,The Master Story — Theophysics Narrative Index,5,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\Templates\THE MASTER.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\Templates\THE MASTER.md; 80:\\192.168.2.50\z obsidian\Production Vault\Templates\THE MASTER.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-01-measurement-collapsed-reality.html,GTQ-01 The Measurement That Collapsed Reality — Genesis to Quantum,8,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Mea.md,Mea,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Mea.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\measurement.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Mea.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\measurement.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Mea.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\measurement.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-01a-collapse-threshold.html,The Collapse Threshold | GTQ Tangent 01A,3,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_01A_Collapse_Threshold.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-02-the-first-quantum-state.html,Article 02: The First Quantum State — Genesis to Quantum,10,100,exact-title,\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_02_The_First_Quantum_State.md,GTQ_02_The_First_Quantum_State,100:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_02_The_First_Quantum_State.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum State.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\quantum.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum State.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Quantum.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\quantum.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03-free-will-two-frames.html,Article 03: Free Will in Two Frames — Genesis to Quantum,5,100,exact-title,\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03_Free_Will_In_Two_Frames.md,GTQ_03_Free_Will_In_Two_Frames,100:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03_Free_Will_In_Two_Frames.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Free-Will.md; 80:\\192.168.2.50\z obsidian\_ Theophysics_Case_for_Christ\_CONCEPTS\Free-Will.md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Free-Will.md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\FREE.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03a-macarthur-and-the-equation.html,GTQ 03A: MacArthur and the Equation | Genesis to Quantum,7,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Aca.md,Aca,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Aca.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Aca.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Opus\New Folder\03.md; 80:\\192.168.2.50\z obsidian\Production Vault\99_TAG_NOTES\Aca.md; 80:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03A_MacArthur_And_The_Equation.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03b-the-three-pathways.html,The Three Pathways — Genesis to Quantum,3,100,exact-title,\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03B_The_Three_Pathways.md,GTQ_03B_The_Three_Pathways,100:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03B_The_Three_Pathways.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03c-why-god-drowned-everybody.html,Why God Drowned Everybody — Genesis to Quantum,1,100,exact-title,\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03C_Why_God_Drowned_Everybody.md,GTQ_03C_Why_God_Drowned_Everybody,100:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_03C_Why_God_Drowned_Everybody.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-04-the-day-time-began.html,Article 04: The Day Time Began — Genesis to Quantum,7,100,exact-title,\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_04_The_Day_Time_Began.md,GTQ_04_The_Day_Time_Began,100:\\192.168.2.50\z obsidian\Production VAULTS\GTQ_Series\GTQ_04_The_Day_Time_Began.md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Time .md; 80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Time.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Time .md; 80:\\192.168.2.50\z obsidian\Archive\Theophysics_Case_for_Christ\Time.md
