lookup_key,count,latex_samples,paths
gt0,5,"['&gt; 0', '\\Omega &gt; 0', '\\epsilon &gt; 0']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-ontological-taxonomy-wrapped.html', 'consciousness/consciousness-ontological-taxonomy.html', 'genesis-to-quantum/gtq-10-how-lies-kill.html']"
0,14,"['[0, \\infty)', '\\Omega = 0', '\\alpha = 0', '\\beta = 0', '\\epsilon_0']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-ontological-taxonomy-wrapped.html', 'consciousness/consciousness-ontological-taxonomy.html', 'convergence-deep/cdt-02-the-maxwell-moment.html', 'genesis-to-quantum/Archive/gtq-02-the-first-quantum-state.html', 'genesis-to-quantum/CODEX_BUILD/examples/gtq-02-finished.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-02-the-first-quantum-state.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03b-the-three-pathways.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-07a-empirical-testing.html', 'genesis-to-quantum/gtq-07a-empirical-testing.html', 'revolution-of-truth/drv-06-the-cycle.html', 'subdomains/equation/Master-Equation-Complete-Derivation-Chain.html', 'subdomains/rigor/Master-Equation-Complete-Derivation-Chain.html']"
8pignc4,2,['8\\pi G_N/c^4'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
16,2,['\\xi = 1/6'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
xmutoxmux,2,"[""x^\\mu \\to x'^\\mu(x)""]","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chitochi,3,"['\\chi \\to -\\chi', '\\dot{\\chi} \\to -\\dot{\\chi}']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html']"
s0,14,"['S = 0', 'S \\approx 0', '\\alpha(s) = 0', '\\delta S / \\delta\\chi = 0', 's = 0']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'convergence-deep/cdt-03-the-energy-that-doesnt-run-out.html', 'convergence-deep/cdt-04-the-map-that-drew-itself.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03-free-will-two-frames.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03a-macarthur-and-the-equation.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03b-the-three-pathways.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-08-god-doesnt-need-a-clock.html', 'genesis-to-quantum/gtq-03-free-will-two-frames.html', 'genesis-to-quantum/gtq-03a-macarthur-and-the-equation.html', 'genesis-to-quantum/gtq-03b-the-three-pathways.html', 'genesis-to-quantum/gtq-04-free-will-two-frames.html', 'genesis-to-quantum/gtq-05-macarthur-and-the-equation.html', 'genesis-to-quantum/gtq-06-three-pathways.html']"
veffchi0,2,"[""\\Box\\chi + V'_{\\text{eff}}(\\chi) = 0""]","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
r0,4,"['R = 0', 'R_0 = \\infty']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03c-why-god-drowned-everybody.html', 'work/one-page-stories-sprint/04-approved/ten-laws-full-treatment.html']"
m2chi30,2,['\\Box\\chi + m^2\\chi + \\lambda\\chi^3 = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chichi0,3,['\\chi = \\chi_0 + \\delta\\chi'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
r12h2,2,['R = 12H^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
rm20,2,['R \\gg m^2/(\\xi\\kappa_0)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
gmunu,4,"['G_{\\mu\\nu}', 'g^{\\mu\\nu}', 'g_{\\mu\\nu}']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html', 'work/one-page-stories-sprint/04-approved/ten-laws-full-treatment.html']"
sgmunu0,2,['\\delta S / \\delta g^{\\mu\\nu} = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
muchito0,2,['\\partial_\\mu\\chi \\to 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
tmunuchitogmunuvchi0,2,['T_{\\mu\\nu}^{(\\chi)} \\to -g_{\\mu\\nu}V(\\chi_0)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chi020,2,['\\Box(\\chi_0^2) = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
munuchi020,2,['\\nabla_\\mu\\nabla_\\nu(\\chi_0^2) = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
geffgn10chi02,2,['G_{\\text{eff}} = G_N / (1 + \\xi\\kappa_0\\chi_0^2)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
lambdaeff0vchi0,2,['\\Lambda_{\\text{eff}} = \\kappa_0 V(\\chi_0)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
proptoikxt,2,['\\delta\\chi \\propto \\exp(i(kx - \\omega t))'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
vgkkc2lec,2,['v_g = \\partial\\omega/\\partial k = kc^2/\\omega \\leq c'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
vpkgec,2,['v_p = \\omega/k \\geq c'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
meffto0,2,['m_{\\text{eff}} \\to 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
vgc,2,['v_g = c'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
122,2,['+\\tfrac{1}{2}\\dot\\chi^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
10chi2lt0,2,['1 + \\xi\\kappa_0\\chi^2 &lt; 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chi2gt10,2,['\\chi^2 &gt; 1/(\\xi\\kappa_0)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
1,15,"['-1', '\\Omega = 1', '\\alpha = 1', '\\beta = 1', '\\xi \\sim 1']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html', 'genesis-to-quantum/CODEX_BUILD/examples/gtq-02-finished.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03a-macarthur-and-the-equation.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03b-the-three-pathways.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-04-the-day-time-began.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-04b-how-lies-kill.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-08-god-doesnt-need-a-clock.html', 'genesis-to-quantum/gtq-03a-macarthur-and-the-equation.html', 'genesis-to-quantum/gtq-04-the-day-time-began.html', 'genesis-to-quantum/gtq-04b-how-lies-kill.html', 'genesis-to-quantum/gtq-08-god-doesnt-need-a-clock.html', 'genesis-to-quantum/gtq-10-how-lies-kill.html', 'revolution-of-truth/drv-06-the-cycle.html']"
01069,2,['\\kappa_0 \\sim 10^{-69}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chilt10345,2,['\\chi &lt; 10^{34.5}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
m2gt0,2,['m^2 &gt; 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
meff2m2302gt0,2,['m_{\\text{eff}}^2 = m^2 + 3\\lambda\\chi_0^2 &gt; 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chi0m2,2,['\\chi_0 = \\sqrt{-m^2/\\lambda}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
meff22m2gt0,2,['m_{\\text{eff}}^2 = -2m^2 &gt; 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
xactxyzs,3,"['x^A = (ct, x, y, z, \\mathfrak{s})']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
s,13,"['(S)', ""S'"", '\\alpha(s)', '\\alpha_s', '\\epsilon_s']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html', 'convergence-deep/cdt-02-the-maxwell-moment.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03b-the-three-pathways.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-08-god-doesnt-need-a-clock.html', 'genesis-to-quantum/gtq-03b-the-three-pathways.html', 'genesis-to-quantum/gtq-06-three-pathways.html', 'genesis-to-quantum/gtq-08-god-doesnt-need-a-clock.html', 'genesis-to-quantum/intro/information-theoretic-form.html', 'revolution-of-truth/drv-01-the-architecture.html', 'revolution-of-truth/drv-03-the-cost-of-denial.html', 'work/one-page-stories-sprint/04-approved/ten-laws-full-treatment.html']"
vlec,3,['v \\leq c'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
220,2,['\\alpha = 2\\xi^2\\kappa_0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
r1,3,"['R = 1', 'r \\sim 1']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'work/one-page-stories-sprint/04-approved/ten-laws-full-treatment.html']"
erchi1,2,['e^{-r/\\lambda_\\chi} \\approx 1'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
2201059,2,['\\alpha = 2\\xi^2\\kappa_0 \\lesssim 10^{-59}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
102,2,['\\alpha \\lesssim 10^{-2}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
gammappn1lt23105,2,['|\\gamma_{\\text{PPN}} - 1| &lt; 2.3 \\times 10^{-5}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
fchi10chi2,2,['f(\\chi) = 1 + \\xi\\kappa_0\\chi^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
0chi021,2,['\\xi\\kappa_0\\chi_0^2 \\ll 1'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
gamma1220chi02,2,['|\\gamma - 1| \\sim 2\\xi^2\\kappa_0\\chi_0^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
cgwc1lt1015,2,['|c_{\\text{GW}}/c - 1| &lt; 10^{-15}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
zchi1,2,['Z(\\chi) = 1'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
mh0,2,['m \\sim H_0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
w0,4,"['\\nabla \\cdot \\mathbf{W} = 0', 'w_0']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html', 'convergence-deep/cdt-02-the-maxwell-moment.html']"
07,3,"['-0.7', '\\approx -0.7']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
09,2,['-0.9'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
wa,3,['w_a'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
05,3,"['-0.5', '\\alpha = 0.5']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'genesis-to-quantum/_link-fix-backup-2026-05-05-2124/gtq-03b-the-three-pathways.html']"
12,3,"['-1.2', '\\psi_1, \\psi_2']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'work/one-page-stories-sprint/04-approved/ten-laws-full-treatment.html']"
h0,4,['H_0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html', 'consciousness/consciousness-reality-assessment.html']"
rhovac1071,2,['\\rho_{\\text{vac}} \\sim 10^{71}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
rhode1047,2,['\\rho_{\\text{DE}} \\sim 10^{-47}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
vchi,8,"[""V'(\\chi)"", ""V'(χ)"", 'V(\\chi)']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html', 'consciousness/consciousness-reality-assessment-wrapped.html', 'consciousness/consciousness-reality-assessment.html', 'subdomains/equation/Master-Equation-Complete-Derivation-Chain.html', 'subdomains/rigor/Master-Equation-Complete-Derivation-Chain.html', 'work/one-page-stories-sprint/04-approved/Formalism.html']"
w1,4,['w = -1'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html', 'consciousness/consciousness-reality-assessment.html']"
wne1,3,['w \\neq -1'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html']"
h067405,2,['H_0 = 67.4 \\pm 0.5'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
h073010,2,['H_0 = 73.0 \\pm 1.0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
qgd,2,['Q_{\\text{GD}}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
sigma80811,2,['\\sigma_8 = 0.811'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
sigma8076079,2,['\\sigma_8 \\approx 0.76\\text{--}0.79'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
0054,2,['\\beta = -0.054'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
sigma8,3,['\\sigma_8'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
mugmunu0,3,['\\nabla^\\mu G_{\\mu\\nu} = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html']"
vglec,2,['v_g \\leq c'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
lambdauvmpl,2,['\\Lambda_{\\text{UV}} \\sim M_{\\text{Pl}}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
tmunu,11,"['T_{\\mu\\nu}', 'T_{μν}']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'forge-proofs/structural-isomorphism.html', 'isomorphism/structural-isomorphi1sm.html', 'isomorphism/structural-isomorphism.html', 'isomorphism_backup_20260624_163104/structural-isomorphi1sm.html', 'isomorphism_backup_20260624_163104/structural-isomorphism.html', 'proof-architecture/pa-05-structural-isomorphism.html', 'subdomains/equation/Master-Equation-Complete-Derivation-Chain.html', 'subdomains/rigor/Master-Equation-Complete-Derivation-Chain.html', 'work/one-page-stories-sprint/04-approved/ten-laws-full-treatment.html']"
fsigma8z05gt044,3,['f\\sigma_8(z=0.5) &gt; 0.44'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
1069,3,['\\kappa \\sim 10^{-69}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
cgwnec,2,['c_{\\text{GW}} \\neq c'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
1015,3,"['10^{-15}', '\\beta \\sim 10^{-15}']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment.html']"
geffgn10chi2,2,['G_{\\text{eff}} = G_N/(1 + \\xi\\kappa_0\\chi^2)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
fchi,2,['f(\\chi)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
