file,replacements
mda\00-entry-and-series-map\index.html,1
mda\00-entry-and-series-map\MDA-000-series-map.html,1
mda\01-story-thread\MDA-001-story-introduction.html,1
mda\01-story-thread\MDA-002-samuel-1900.html,1
mda\01-story-thread\MDA-008-henry-1926.html,1
mda\01-story-thread\MDA-011-collective-security-1930.html,1
mda\01-story-thread\MDA-012-william-1950.html,1
mda\01-story-thread\MDA-016-thomas-1974.html,1
mda\01-story-thread\MDA-031-jacob-1998.html,1
mda\01-story-thread\MDA-050-jacob-2025.html,1
mda\02-method-and-metrics\MDA-003-measuring-moral-health-academic.html,1
mda\02-method-and-metrics\MDA-003-measuring-moral-health-easy.html,1
mda\02-method-and-metrics\MDA-003-measuring-moral-health.html,1
mda\02-method-and-metrics\MDA-004-facts-framework-academic.html,1
mda\02-method-and-metrics\MDA-004-facts-framework-easy.html,1
mda\02-method-and-metrics\MDA-004-facts-framework.html,1
mda\02-method-and-metrics\MDA-006-research-method-academic.html,1
mda\02-method-and-metrics\MDA-006-research-method-easy.html,1
mda\02-method-and-metrics\MDA-006-research-method.html,1
mda\02-method-and-metrics\MDA-007-nine-domains-academic.html,1
mda\02-method-and-metrics\MDA-007-nine-domains-easy.html,1
mda\02-method-and-metrics\MDA-007-nine-domains.html,1
mda\02-method-and-metrics\MDA-037-biaxiosum-audit-academic.html,1
mda\02-method-and-metrics\MDA-037-biaxiosum-audit-easy.html,1
mda\02-method-and-metrics\MDA-037-biaxiosum-audit.html,1
mda\02-method-and-metrics\MDA-038-coherence-metric-academic.html,1
mda\02-method-and-metrics\MDA-038-coherence-metric-easy.html,1
mda\02-method-and-metrics\MDA-038-coherence-metric.html,1
mda\02-method-and-metrics\MDA-039-physics-of-coherence-academic.html,1
mda\02-method-and-metrics\MDA-039-physics-of-coherence-easy.html,1
mda\02-method-and-metrics\MDA-039-physics-of-coherence.html,1
mda\02-method-and-metrics\MDA-040-statistical-synthesis-academic.html,1
mda\02-method-and-metrics\MDA-040-statistical-synthesis-easy.html,1
mda\02-method-and-metrics\MDA-040-statistical-synthesis.html,1
mda\02-method-and-metrics\MDA-041-statistical-spine-academic.html,3
mda\02-method-and-metrics\MDA-041-statistical-spine-easy.html,3
mda\02-method-and-metrics\MDA-041-statistical-spine.html,3
mda\03-evidence-chronology\MDA-005-empirical-evidence.html,1
mda\03-evidence-chronology\MDA-009-the-1900-baseline.html,1
mda\03-evidence-chronology\MDA-010-pre-modern-baseline.html,1
mda\03-evidence-chronology\MDA-013-peak-coherence-1940.html,4
mda\03-evidence-chronology\MDA-014-fissure-1950.html,1
mda\03-evidence-chronology\MDA-015-long-decline.html,1
mda\03-evidence-chronology\MDA-017-unraveling-1960.html,1
mda\03-evidence-chronology\MDA-018-great-decoupling-1968.html,1
mda\03-evidence-chronology\MDA-019-current-state-2024.html,1
mda\04-collapse-mechanisms\MDA-020-phase-transition.html,1
mda\04-collapse-mechanisms\MDA-021-anatomy-of-phase-transition.html,1
mda\04-collapse-mechanisms\MDA-022-cascade.html,1
mda\04-collapse-mechanisms\MDA-023-coherence-cascade.html,1
mda\04-collapse-mechanisms\MDA-024-semantic-collapse.html,3
mda\04-collapse-mechanisms\MDA-025-cognitive-decline.html,3
mda\04-collapse-mechanisms\MDA-026-spiritual-collapse.html,3
mda\04-collapse-mechanisms\MDA-027-signal-went-dark.html,1
mda\04-collapse-mechanisms\MDA-028-phantom-money.html,1
mda\04-collapse-mechanisms\MDA-029-observer-collapsed.html,3
mda\04-collapse-mechanisms\MDA-030-trinity-mechanism.html,5
mda\04-collapse-mechanisms\MDA-032-why-bad-is-easier.html,1
mda\04-collapse-mechanisms\MDA-033-entropic-society.html,1
mda\04-collapse-mechanisms\MDA-034-technology-entropy.html,1
mda\04-collapse-mechanisms\MDA-035-great-reconfiguration.html,1
mda\04-collapse-mechanisms\MDA-036-regulatory-impulse-1900.html,1
mda\05-amish-and-case-studies\MDA-042-amish-exception-THE-CLAIM.html,1
mda\05-amish-and-case-studies\MDA-043-amish-proof-THE-PROOF.html,1
mda\05-amish-and-case-studies\MDA-044-amish-control-study-THE-METHOD.html,3
mda\05-amish-and-case-studies\MDA-045-amish-control-group-THE-DATA.html,1
mda\05-amish-and-case-studies\MDA-046-amish-demographics-THE-NUMBERS.html,1
mda\05-amish-and-case-studies\MDA-047-amish-tech-filter-THE-FILTER.html,1
mda\05-amish-and-case-studies\MDA-048-ordnung-algorithm-THE-MECHANISM.html,1
mda\05-amish-and-case-studies\MDA-049-coherence-factory-THE-SYNTHESIS.html,1
mda\05-amish-and-case-studies\MDA-051-korea-experiment.html,1
mda\06-recovery-and-synthesis\MDA-052-individual-recovery.html,1
mda\06-recovery-and-synthesis\MDA-053-the-question.html,1
mda\06-recovery-and-synthesis\MDA-054-way-back.html,3
mda\90-appendices-and-source-packets\MDA-900-appendix-original-introduction.html,1
mda\90-appendices-and-source-packets\MDA-901-appendix-america-index.html,5
mda\90-appendices-and-source-packets\MDA-902-appendix-trans-domain-analysis.html,1
mda\90-appendices-and-source-packets\MDA-903-appendix-series-home.html,2
mda\90-appendices-and-source-packets\MDA-904-appendix-sample.html,3
mda\90-appendices-and-source-packets\MDA-905-appendix-timeline.html,1
mda\90-appendices-and-source-packets\MDA-906-appendix-93-year-floor.html,3
mda\components\mtl-reader-bar.html,1
mda\components\tp-pill-player.html,1
mda\index.html,3
mda\reading-order.html,1
media\index-kimi.html,4
media\index.html,3
moral-decline\00-entry-and-series-map\index.html,5
moral-decline\00-entry-and-series-map\MDA-000-series-map.html,1
moral-decline\01-story-thread\index.html,2
moral-decline\01-story-thread\MDA-001-story-introduction.html,1
moral-decline\01-story-thread\MDA-002-samuel-1900.html,1
moral-decline\01-story-thread\MDA-008-henry-1926.html,1
moral-decline\01-story-thread\MDA-012-william-1950.html,1
moral-decline\01-story-thread\MDA-016-thomas-1974.html,1
moral-decline\01-story-thread\MDA-031-jacob-1998.html,1
moral-decline\01-story-thread\MDA-050-jacob-2025.html,1
moral-decline\02-method-and-metrics\index.html,2
moral-decline\02-method-and-metrics\MDA-003-measuring-moral-health.html,1
moral-decline\02-method-and-metrics\MDA-006-research-method.html,1
moral-decline\02-method-and-metrics\MDA-007-nine-domains.html,1
moral-decline\02-method-and-metrics\MDA-037-biaxiosum-audit.html,1
moral-decline\02-method-and-metrics\MDA-038-coherence-metric.html,1
moral-decline\02-method-and-metrics\MDA-039-physics-of-coherence.html,1
moral-decline\02-method-and-metrics\MDA-040-statistical-synthesis.html,1
moral-decline\02-method-and-metrics\MDA-041-statistical-spine.html,1
moral-decline\03-evidence-chronology\index.html,2
moral-decline\03-evidence-chronology\MDA-005-empirical-evidence.html,1
moral-decline\03-evidence-chronology\MDA-009-the-1900-baseline.html,1
moral-decline\03-evidence-chronology\MDA-010-pre-modern-baseline.html,1
moral-decline\03-evidence-chronology\MDA-011-collective-security-1930.html,1
moral-decline\03-evidence-chronology\MDA-013-peak-coherence-1940.html,1
moral-decline\03-evidence-chronology\MDA-014-fissure-1950.html,1
moral-decline\03-evidence-chronology\MDA-015-long-decline.html,1
moral-decline\03-evidence-chronology\MDA-017-unraveling-1960.html,1
moral-decline\03-evidence-chronology\MDA-018-great-decoupling-1968.html,1
moral-decline\03-evidence-chronology\MDA-019-current-state-2024.html,1
moral-decline\04-collapse-mechanisms\index.html,2
moral-decline\04-collapse-mechanisms\MDA-020-phase-transition.html,1
moral-decline\04-collapse-mechanisms\MDA-021-anatomy-of-phase-transition.html,1
moral-decline\04-collapse-mechanisms\MDA-022-cascade.html,1
moral-decline\04-collapse-mechanisms\MDA-023-coherence-cascade.html,2
moral-decline\04-collapse-mechanisms\MDA-024-semantic-collapse.html,1
moral-decline\04-collapse-mechanisms\MDA-025-cognitive-decline.html,1
moral-decline\04-collapse-mechanisms\MDA-026-spiritual-collapse.html,1
moral-decline\04-collapse-mechanisms\MDA-027-signal-went-dark.html,1
moral-decline\04-collapse-mechanisms\MDA-028-phantom-money.html,2
moral-decline\04-collapse-mechanisms\MDA-029-observer-collapsed.html,2
moral-decline\04-collapse-mechanisms\MDA-030-trinity-mechanism.html,1
moral-decline\04-collapse-mechanisms\MDA-032-why-bad-is-easier.html,1
moral-decline\04-collapse-mechanisms\MDA-033-entropic-society.html,1
moral-decline\04-collapse-mechanisms\MDA-034-technology-entropy.html,1
moral-decline\04-collapse-mechanisms\MDA-035-great-reconfiguration.html,1
moral-decline\04-collapse-mechanisms\MDA-036-regulatory-impulse-1900.html,1
moral-decline\05-amish-and-case-studies\index.html,2
moral-decline\05-amish-and-case-studies\MDA-042-amish-exception-THE-CLAIM.html,1
moral-decline\05-amish-and-case-studies\MDA-043-amish-proof-THE-PROOF.html,2
moral-decline\05-amish-and-case-studies\MDA-044-amish-control-study-THE-METHOD.html,1
moral-decline\05-amish-and-case-studies\MDA-045-amish-control-group-THE-DATA.html,1
moral-decline\05-amish-and-case-studies\MDA-046-amish-demographics-THE-NUMBERS.html,1
moral-decline\05-amish-and-case-studies\MDA-047-amish-tech-filter-THE-FILTER.html,1
moral-decline\05-amish-and-case-studies\MDA-048-ordnung-algorithm-THE-MECHANISM.html,1
moral-decline\05-amish-and-case-studies\MDA-049-coherence-factory-THE-SYNTHESIS.html,1
moral-decline\05-amish-and-case-studies\MDA-051-korea-experiment.html,1
moral-decline\06-recovery-and-synthesis\index.html,2
moral-decline\06-recovery-and-synthesis\MDA-052-individual-recovery.html,1
moral-decline\06-recovery-and-synthesis\MDA-053-the-question.html,1
moral-decline\06-recovery-and-synthesis\MDA-054-way-back.html,2
moral-decline\90-appendices-and-source-packets\index.html,2
moral-decline\90-appendices-and-source-packets\MDA-900-appendix-original-introduction.html,1
